,qiymət,şəhər,marka,model,rəng,mühərrik_sm³,yanacaq_növü,sürətlər_qutusu,kuzov_növü,buraxılış_ili,yürüş_km
1264,4 500 AZN,Bakı,Infiniti,EX35,Yaş Asfalt,3500,Benzin,Avtomat,Sedan,2004,250000
1265,2 900 AZN,Bakı,LADA (VAZ),2107,Ağ,1453,Benzin,Mexaniki,Sedan,1986,96000
1266,6 000 AZN,Bakı,LADA (VAZ),Priora,Ağ,122,Benzin,Mexaniki,Sedan,2008,288834
1267,4 500 AZN,Bakı,KIA,Optima,Tünd qırmızı,2500,Benzin,Avtomat,Sedan,2001,230000
1268,22 800 AZN,Bakı,Hyundai,Santa Fe,Ağ,2200,Dizel,Avtomat,Offroader/SUV,2008,268000
1269,4 000 AZN,Ucar,LADA (VAZ),2107,Göy,65,Benzin,Mexaniki,Sedan,1999,555000
1270,10 000 AZN,Bakı,Mercedes,C 180,Göy,1800,Benzin,Avtomat,Sedan,1999,574000
1271,20 000 AZN,Bakı,KIA,Cee`d,Qara,1600,Dizel,Mexaniki,Universal,2014,106000
1272,4 500 AZN,Quba,LADA (VAZ),2107,Qırmızı,75,Benzin,Mexaniki,Sedan,1989,555555
1273,19 000 AZN,Bakı,Mercedes,E 270,Qara,270,Dizel,Avtomat,Sedan,2001,300000
1274,17 200 AZN,Bakı,Hyundai,Elantra,Qırmızı,1800,Benzin,Avtomat,Sedan,2015,122608
1275,13 900 AZN,Bakı,LADA (VAZ),Priora,Ağ,1600,Benzin,Mexaniki,Sedan,2015,178956
1276,5 600 AZN,Şəmkir,LADA (VAZ),21099,Mavi,150,Benzin,Mexaniki,Sedan,1999,15000
1277,1 350 AZN,Zaqatala,LADA (VAZ),2106,Tünd qırmızı,1600,Benzin,Mexaniki,Sedan,1983,279464
1278,2 350 AZN,Sumqayıt,Volkswagen,Golf,Boz,1500,Benzin,Mexaniki,Hetçbek,1989,231546
1279,9 500 AZN,Bakı,Chevrolet,Aveo,Ağ,1200,Benzin,Mexaniki,Sedan,2011,417102
1280,12 300 AZN,Bakı,Mercedes,ML 320,Qara,320,Benzin,Avtomat,Hetçbek,2000,225000
1281,8 900 AZN,Bakı,KIA,Picanto,Qırmızı,1100,Benzin,Avtomat,Hetçbek,2006,175000
1282,5 500 AZN,Şirvan,LADA (VAZ),2106,Boz,1600,Benzin,Mexaniki,Sedan,2002,440000
1283,22 400 AZN,Bakı,Hyundai,Accent,Gümüşü,1600,Dizel,Avtomat,Sedan,2014,110201
1284,1 300 AZN,Şamaxı,LADA (VAZ),2106,Göy,1300,Benzin,Mexaniki,Sedan,1983,80500
1285,9 500 AZN,Sumqayıt,Mercedes,C 240,Qara,2600,Benzin,Avtomat,Sedan,2003,360000
1286,4 800 AZN,Bakı,Iran Khodro,Soren,Yaş Asfalt,1600,Benzin,Mexaniki,Sedan,2014,274500
1287,6 500 AZN,Bakı,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2008,174000
1288,3 500 AZN,Zaqatala,LADA (VAZ),2106,Bej,65,Benzin,Mexaniki,Sedan,1986,25055
1289,6 700 AZN,Bakı,Mercedes,S 350,Gümüşü,3500,Dizel,Avtomat,Sedan,1993,470000
1290,4 500 AZN,Bakı,Iran Khodro,Azsamand,Qara,1800,Benzin,Mexaniki,Sedan,2007,255587
1291,9 200 AZN,Bakı,Mercedes,C 220,Qara,150,Benzin,Avtomat,Sedan,1996,201260
1292,3 900 AZN,Bakı,Opel,Vita,Bənövşəyi,1400,Benzin,Avtomat,Hetçbek,1996,25000
1293,2 600 AZN,Xırdalan,LADA (VAZ),2106,Sarı,1500,Benzin,Mexaniki,Sedan,1988,200000
1294,14 000 AZN,Bakı,Chevrolet,Cruze,Qəhvəyi,55,Benzin,Avtomat,Kabriolet,2015,130
1295,3 800 AZN,Bakı,Opel,Vectra,Yaşıl,2500,Benzin,Avtomat,Sedan,1996,200000
1296,26 500 AZN,Bakı,Mercedes,ML 300,Göy,3000,Dizel,Avtomat,Offroader/SUV,2006,368000
1297,11 800 AZN,Bakı,Renault,Logan,Ağ,1600,Benzin,Mexaniki,Sedan,2015,378000
1298,11 000 AZN,Sumqayıt,Opel,Zafira,Gümüşü,150,Dizel,Avtomat,Universal,2006,240000
1299,2 350 AZN,Sumqayıt,LADA (VAZ),2106,Ağ,1600,Benzin,Mexaniki,Sedan,1989,250000
1300,2 400 AZN,Bakı,Opel,Vectra,Ağ,1600,Benzin,Mexaniki,Hetçbek,1994,5639
1301,16 800 AZN,Bakı,Hyundai,Accent,Ağ,1400,Benzin,Avtomat,Sedan,2016,188700
1302,11 500 AZN,Bakı,BMW,540,Göy,4400,Benzin,Avtomat,Sedan,1998,124000
1303,18 700 AZN,Sumqayıt,Porsche,Cayenne,Tünd qırmızı,4500,Qaz,Avtomat,Offroader/SUV,2003,230000
1304,11 000 AZN,Sumqayıt,Mercedes,E 200,Gümüşü,2000,Benzin,Mexaniki,Sedan,1997,268000
1305,2 700 AZN,Bakı,LADA (VAZ),2109,Göy,1500,Benzin,Mexaniki,Sedan,1990,23121
1306,2 700 AZN,Zaqatala,LADA (VAZ),2106,Ağ,1300,Benzin,Mexaniki,Sedan,1985,666666
1307,25 500 AZN,Bakı,Volkswagen,Tiguan,Ağ,276,Benzin,Avtomat,Offroader/SUV,2011,168300
1308,3 200 AZN,İsmayıllı,Tofas,Sahin,Sarı,1600,Benzin,Mexaniki,Sedan,2003,125436
1309,28 000 AZN,Bakı,Mercedes,E 220,Boz,2200,Dizel,Avtomat,Universal,2010,221000
1310,22 300 AZN,Bakı,Hyundai,Elantra,Mavi,1800,Benzin,Avtomat,Sedan,2013,146000
1311,8 800 AZN,Bakı,Daewoo,Gentra,Ağ,150,Benzin,Mexaniki,Sedan,2013,223000
1312,5 000 AZN,Ağdaş,Volkswagen,Passat,Gümüşü,1800,Benzin,Mexaniki,Universal,1999,200400
1313,13 000 AZN,Bakı,Mercedes,B 200,Göy,200,Benzin,Avtomat,Sedan,2006,213475
1314,3 300 AZN,Sumqayıt,LADA (VAZ),2109,Qırmızı,1500,Benzin,Mexaniki,Hetçbek,1989,27000
1315,14 500 AZN,Bakı,Hyundai,i30,Qara,1600,Dizel,Mexaniki,Universal,2008,203500
1316,3 600 AZN,Bakı,Opel,Vectra,Qara,2000,Benzin,Mexaniki,Sedan,1994,3000
1317,21 800 AZN,Bakı,Hyundai,Elantra,Yaş Asfalt,2000,Benzin,Avtomat,Sedan,2016,97000
1318,14 500 AZN,Bakı,Nissan,X-Trail,Gümüşü,2500,Benzin,Avtomat,Offroader/SUV,2006,127000
1319,4 800 AZN,Bakı,Daewoo,Damas,Ağ,800,Benzin,Mexaniki,Universal,2008,278000
1320,3 000 AZN,Quba,LADA (VAZ),2106,Boz,1300,Benzin,Mexaniki,Sedan,1987,55000
1321,3 300 AZN,Bakı,LADA (VAZ),2109,Bej,1500,Benzin,Mexaniki,Hetçbek,1999,242300
1322,2 700 AZN,Quba,LADA (VAZ),2106,Bej,1600,Benzin,Mexaniki,Sedan,1986,50
1323,3 900 AZN,Bakı,LADA (VAZ),2106,Ağ,180,Benzin,Mexaniki,Sedan,2003,555666
1324,4 000 AZN,Zaqatala,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,1998,81000
1325,8 300 AZN,Xaçmaz,LADA (VAZ),Priora,Gümüşü,1600,Benzin,Mexaniki,Sedan,2008,70000
1326,12 900 AZN,Bakı,KIA,Rio,Narıncı,1400,Benzin,Avtomat,Sedan,2008,165000
1327,10 200 AZN,Gəncə,Opel,Astra,Qızılı,200,Benzin,Mexaniki,Universal,2005,386132
1328,5 800 AZN,Bakı,LADA (VAZ),Niva,Ağ,1700,Benzin,Mexaniki,Offroader/SUV,2000,218000
1329,18 000 AZN,Gəncə,Great Wall,Hover H3,Qara,2000,Benzin,Mexaniki,Offroader/SUV,2014,196000
1330,5 800 AZN,Bakı,Mercedes,190,Qırmızı,109,Benzin,Avtomat,Sedan,1993,288901
1331,8 500 AZN,Gəncə,Mercedes,C 200,Qara,13500,Benzin,Avtomat,Sedan,2001,1258845
1332,15 300 AZN,Bakı,KIA,Cee`d,Qara,1400,Benzin,Mexaniki,Hetçbek,2009,93000
1333,19 500 AZN,Bakı,Mazda,CX-9,Qara,3700,Benzin,Avtomat,Offroader/SUV,2009,209000
1334,3 750 AZN,Şəki,LADA (VAZ),2106,Bej,1300,Benzin,Mexaniki,Sedan,1986,256000
1335,8 800 AZN,Gəncə,LADA (VAZ),2114,Ağ,1600,Benzin,Mexaniki,Hetçbek,2011,167000
1336,42 999 AZN,Bakı,Toyota,Prado,Ağ,4000,Benzin,Avtomat,Offroader/SUV,2008,261000
1337,11 500 AZN,Quba,KIA,Rio,Boz,1400,Benzin,Mexaniki,Hetçbek,2007,161000
1338,3 800 AZN,Tovuz,Volkswagen,Golf,Qara,1800,Benzin,Mexaniki,Hetçbek,1995,658000
1339,3 900 AZN,Sumqayıt,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,1993,92000
1340,7 800 AZN,Cəlilabad,LADA (VAZ),2110,Qara,1600,Benzin,Mexaniki,Sedan,2007,321000
1341,7 000 AZN,Bakı,Mercedes,C 220,Yaşıl,2200,Benzin,Avtomat,Sedan,1993,400260
1342,12 000 AZN,Bakı,Daewoo,Gentra,Ağ,1500,Benzin,Mexaniki,Sedan,2014,230000
1343,8 500 AZN,Bakı,Opel,Astra,Gümüşü,2000,Dizel,Avtomat,Universal,1998,52300
1344,5 900 AZN,Bakı,Tofas,Sahin,Qırmızı,1600,Benzin,Mexaniki,Sedan,2006,64000
1345,4 500 AZN,Sumqayıt,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2002,258741
1346,14 000 AZN,Sumqayıt,Ford,Transit,Qırmızı,204,Dizel,Mexaniki,Mikroavtobus,1997,520000
1347,9 600 AZN,Balakən,Mercedes,E 320,Qara,3200,Benzin,Avtomat,Sedan,1998,221551
1348,11 500 AZN,Bərdə,Mercedes,C 220,Gümüşü,2200,Dizel,Mexaniki,Universal,2001,280000
1349,6 000 AZN,Qax,Gaz,M-21,Ağ,2400,Benzin,Mexaniki,Sedan,1960,584616
1350,20 500 AZN,Qəbələ,Hyundai,Sonata,Boz,2000,Benzin,Avtomat,Krosover,2010,154000
1351,15 300 AZN,Bakı,Chrysler,200,Boz,2400,Benzin,Avtomat,Sedan,2012,135000
1352,9 000 AZN,Bakı,Nissan,X-Trail,Gümüşü,50,Benzin,Avtomat,Universal,2000,361000
1353,6 000 AZN,Ağdam,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Universal,1998,200000
1354,2 600 AZN,Bakı,LADA (VAZ),2106,Bənövşəyi,1500,Benzin,Mexaniki,Sedan,1984,56300
1355,7 800 AZN,Lənkəran,LADA (VAZ),21099,Gümüşü,1500,Benzin,Mexaniki,Sedan,2002,333000
1356,12 500 AZN,Bakı,Mercedes,C 180,Bej,1800,Benzin,Avtomat,Sedan,1997,456000
1357,10 000 AZN,Bakı,Volkswagen,Touran,Gümüşü,2000,Dizel,Avtomat,Universal,2008,50000
1358,8 000 AZN,Bakı,Mercedes,E 240,Ağ,2300,Benzin,Avtomat,Sedan,2009,111111
1359,4 600 AZN,Hacıqabul,LADA (VAZ),2106,Bej,1500,Benzin,Mexaniki,Sedan,1995,300000
1360,11 000 AZN,Bakı,Hyundai,Sonata,Gümüşü,2400,Benzin,Avtomat,Sedan,2005,380000
1361,22 500 AZN,Bakı,Mercedes,Sprinter 312,Ağ,50,Dizel,Mexaniki,Universal,1998,871324
1362,4 500 AZN,Bakı,LADA (VAZ),2107,Gümüşü,1500,Benzin,Mexaniki,Sedan,2005,299999
1363,5 500 AZN,Bakı,Volvo,S 40,Qara,60,Benzin,Avtomat,Sedan,2000,260
1364,3 600 AZN,Xaçmaz,LADA (VAZ),2106,Bej,1300,Benzin,Mexaniki,Sedan,1990,11111
1365,4 100 AZN,Gəncə,Hyundai,Sonata,Ağ,2000,Benzin,Mexaniki,Sedan,1998,250000
1366,13 700 AZN,Gəncə,Chevrolet,Cruze,Göy,1400,Benzin,Avtomat,Sedan,2015,250000
1367,12 700 AZN,Bakı,Nissan,Sunny,Ağ,1600,Benzin,Avtomat,Sedan,2007,495000
1368,8 200 AZN,Sumqayıt,Gaz,330200,Boz,2400,Benzin,Mexaniki,Pikap,1998,175000
1369,11 700 AZN,Şirvan,Mercedes,C 200,Gümüşü,2000,Benzin,Avtomat,Sedan,2000,388393
1370,3 500 AZN,Masallı,Tofas,Kartal,Göy,0106,Benzin,Mexaniki,Universal,1995,42300
1371,4 800 AZN,Neftçala,Mercedes,E 250,Gümüşü,2900,Dizel,Mexaniki,Sedan,1988,265872
1372,2 800 AZN,Bakı,Daewoo,Leganza,Qara,2200,Benzin,Avtomat,Sedan,1999,1650000
1373,3 700 AZN,Mingəçevir,LADA (VAZ),2109,Ağ,89,Benzin,Mexaniki,Sedan,1993,19998
1374,24 500 AZN,Gəncə,Toyota,Prius,Yaşıl,1800,Hibrid,Variator,Hetçbek,2013,90000
1375,14 400 AZN,Sumqayıt,Mercedes,CL 500,Qara,3200,Dizel,Avtomat,Kupe,1996,350000
1376,3 900 AZN,Zaqatala,Opel,Vectra,Yaşıl,2000,Benzin,Mexaniki,Miniven,1995,333333
1377,13 500 AZN,Mingəçevir,Ford,Transit,Ağ,2500,Dizel,Mexaniki,Mikroavtobus,1996,737130
1378,5 700 AZN,Bakı,LADA (VAZ),2115,Qara,1600,Benzin,Mexaniki,Sedan,2007,380000
1379,9 000 AZN,Sumqayıt,KIA,Rio,Qara,1400,Benzin,Mexaniki,Sedan,2008,500000
1380,9 200 AZN,Bakı,Mercedes,E 280,Yaşıl,193,Benzin,Avtomat,Sedan,1995,250000
1381,25 500 AZN,Bakı,Mercedes,Atego 818,Qara,4300,Dizel,Mexaniki,Universal,2002,634360
1382,7 500 AZN,Bakı,Chevrolet,Lacetti,Qırmızı,1600,Benzin,Avtomat,Hetçbek,2004,357514
1383,3 800 AZN,Bakı,Tofas,Sahin,Qara,1600,Benzin,Mexaniki,Sedan,2004,200000
1384,10 200 AZN,Şəmkir,LADA (VAZ),Priora,Qara,106,Benzin,Mexaniki,Hetçbek,2013,194000
1385,23 000 AZN,Bakı,Hyundai,Sonata,Qara,2400,Hibrid,Avtomat,Sedan,2012,188972
1386,9 500 AZN,Bakı,Saipa,Saina,Boz,1500,Benzin,Mexaniki,Sedan,2019,140000
1387,3 800 AZN,Bakı,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2001,50000
1388,2 500 AZN,Quba,Renault,19,Göy,0002553,Benzin,Mexaniki,Sedan,1994,5000
1389,17 500 AZN,Bakı,Ford,Fusion,Yaş Asfalt,1500,Benzin,Avtomat,Sedan,2013,259800
1390,5 000 AZN,Bakı,BMW,318,Gümüşü,1800,Benzin,Mexaniki,Sedan,1993,220000
1391,14 000 AZN,Tovuz,Gaz,3102,Ağ,4450,Dizel,Mexaniki,Offroader/SUV,2004,50000
1392,9 700 AZN,Bakı,Opel,Astra,Mavi,1600,Benzin,Mexaniki,Sedan,2000,360000
1393,9 500 AZN,Bakı,Mercedes,C 180,Gümüşü,1800,Benzin,Mexaniki,Universal,1998,400000
1394,21 800 AZN,Bakı,Mitsubishi,ASX,Mavi,2000,Benzin,Avtomat,Offroader/SUV,2012,149000
1395,12 450 AZN,Bakı,Nissan,X-Trail,Gümüşü,2000,Benzin,Avtomat,Offroader/SUV,2003,228000
1396,2 250 AZN,Bakı,LADA (VAZ),2106,Bej,1500,Benzin,Mexaniki,Sedan,1988,24565
1397,11 400 AZN,Bakı,Opel,Astra,Boz,1300,Dizel,Mexaniki,Universal,2007,340000
1398,29 300 AZN,Bakı,KIA,Sorento,Qara,2000,Dizel,Avtomat,Offroader/SUV,2010,145757
1399,3 400 AZN,Bərdə,LADA (VAZ),2107,Ağ,369,Benzin,Mexaniki,Sedan,1999,666
1400,6 900 AZN,Bakı,Mercedes,E 250,Boz,2500,Dizel,Mexaniki,Sedan,1994,100
1401,10 000 AZN,Bakı,Mercedes,E 320,Göy,3200,Benzin,Avtomat,Sedan,1995,0
1402,4 500 AZN,Bakı,Mercedes,190,Qara,200,Benzin,Avtomat,Sedan,1990,2
1403,4 000 AZN,Masallı,Gaz,3302-Gazel,Göy,2500,Benzin,Mexaniki,Universal,1999,150000
1404,5 000 AZN,Bakı,Iran Khodro,Azsamand,Göy,1800,Benzin,Mexaniki,Sedan,2006,30000
1405,4 200 AZN,Bakı,LADA (VAZ),2107,Yaşıl,1600,Benzin,Mexaniki,Sedan,2004,92000
1406,8 500 AZN,Gəncə,Great Wall,Voleex C-50,Ağ,1500,Benzin,Mexaniki,Sedan,2014,200000
1407,2 400 AZN,Bakı,LADA (VAZ),2107,Ağ,1500,Benzin,Mexaniki,Sedan,1984,558888
1408,9 200 AZN,Bakı,LADA (VAZ),Niva,Ağ,170,Benzin,Mexaniki,Offroader/SUV,2014,150000
1409,10 500 AZN,Bakı,LADA (VAZ),2115,Ağ,1600,Benzin,Mexaniki,Sedan,2012,86000
1410,3 000 AZN,Bakı,LADA (VAZ),2105,Ağ,1600,Benzin,Mexaniki,Sedan,1997,217000
1411,14 900 AZN,Bakı,Ford,Transit,Ağ,2500,Dizel,Mexaniki,Universal,2000,442000
1412,7 900 AZN,Tovuz,LADA (VAZ),2115,Qızılı,60,Benzin,Mexaniki,Sedan,2007,35600
1413,16 500 AZN,Bakı,Chevrolet,Cruze,Ağ,1400,Benzin,Avtomat,Sedan,2016,198
1414,3 900 AZN,Qazax,LADA (VAZ),2107,Bənövşəyi,2106,Benzin,Mexaniki,Universal,1998,40103
1415,3 000 AZN,Bakı,Tofas,Sahin,Gümüşü,1600,Benzin,Mexaniki,Sedan,2005,100000
1416,30 000 AZN,Sumqayıt,Ford,Transit,Ağ,2400,Dizel,Mexaniki,Mikroavtobus,2009,622707
1417,5 500 AZN,Gəncə,LADA (VAZ),2115,Ağ,1600,Benzin,Mexaniki,Sedan,2001,398880
1418,17 900 AZN,Bakı,Chevrolet,Cruze,Boz,1600,Benzin,Avtomat,Sedan,2017,143000
1419,6 200 AZN,Xaçmaz,Mitsubishi,Pajero,Qırmızı,2500,Dizel,Avtomat,Universal,1992,333333
1420,6 500 AZN,Gəncə,LADA (VAZ),2107,Qara,1600,Benzin,Mexaniki,Sedan,2011,19311
1421,10 500 AZN,Bakı,Hyundai,Sonata,Qara,200,Dizel,Avtomat,Sedan,2009,200000
1422,1 050 AZN,Gəncə,Moskvich,2140,Qara,1500,Benzin,Mexaniki,Sedan,1979,288421
1423,5 500 AZN,Bakı,Chery,Fulwin 2,Gümüşü,1500,Benzin,Mexaniki,Hetçbek,2012,68350
1424,7 000 AZN,Sumqayıt,LADA (VAZ),2115,Qara,1500,Benzin,Mexaniki,Sedan,2006,5000
1425,6 000 AZN,Gəncə,Volkswagen,Golf,Göy,1400,Benzin,Mexaniki,Hetçbek,2002,501221
1426,4 900 AZN,Gədəbəy,LADA (VAZ),Niva,Ağ,150,Benzin,Mexaniki,Sedan,1984,1100
1427,15 500 AZN,Bakı,Nissan,X-Trail,Ağ,2500,Benzin,Avtomat,Offroader/SUV,2008,305000
1428,3 700 AZN,Goranboy,LADA (VAZ),2111,Sarı,150,Benzin,Mexaniki,Sedan,1979,22222
1429,13 500 AZN,Bakı,Changan,CS 35,Ağ,240,Benzin,Avtomat,Sedan,2014,165000
1430,2 600 AZN,Gəncə,LADA (VAZ),2109,Yaş Asfalt,130,Benzin,Mexaniki,Hetçbek,1993,300000
1431,16 700 AZN,Bakı,Mercedes,E 240,Gümüşü,2400,Benzin,Avtomat,Sedan,2002,296000
1432,4 900 AZN,Ağdam,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2002,95059
1433,27 000 AZN,Bərdə,Mercedes,GL 500,Ağ,5500,Benzin,Avtomat,Offroader/SUV,2007,171000
1434,6 700 AZN,Şirvan,Daewoo,Lanos,Qara,1500,Benzin,Mexaniki,Sedan,2009,262000
1435,13 400 AZN,Bakı,Toyota,Prius,Qırmızı,1500,Benzin,Avtomat,Hetçbek,2007,270000
1436,6 200 AZN,Mingəçevir,LADA (VAZ),2106,Göy,160,Benzin,Mexaniki,Sedan,1998,104895
1437,9 800 AZN,Bakı,Opel,Astra,Boz,200,Benzin,Mexaniki,Sedan,1999,500000
1438,7 300 AZN,Bakı,Renault,Symbol,Ağ,1400,Benzin,Mexaniki,Sedan,2007,276050
1439,7 500 AZN,Bakı,Gaz,3302-Gazel,Boz,2400,Benzin,Mexaniki,Universal,2000,75000
1440,4 000 AZN,Bakı,Daewoo,Nexia,Ağ,1600,Benzin,Mexaniki,Sedan,1998,392712
1441,12 900 AZN,Bakı,Toyota,Corolla,Qara,1400,Benzin,Mexaniki,Hetçbek,2006,282352
1442,8 700 AZN,Xırdalan,Mercedes,C 220,Boz,220,Benzin,Avtomat,Sedan,1995,392840
1443,6 000 AZN,Bakı,LADA (VAZ),2107,Qara,1600,Benzin,Mexaniki,Sedan,2010,29000
1444,4 700 AZN,Şirvan,LADA (VAZ),2106,Ağ,0307,Benzin,Mexaniki,Sedan,1998,5365
1445,10 500 AZN,Quba,Opel,Zafira,Göy,1800,Benzin,Avtomat,Miniven,2001,366000
1446,3 000 AZN,Bakı,Hyundai,Accent,Yaş Asfalt,1500,Benzin,Mexaniki,Sedan,1995,250000
1447,6 300 AZN,Bakı,Volkswagen,Passat,Yaşıl,180,Benzin,Avtomat,Hetçbek,2003,200308
1448,19 500 AZN,Bakı,KIA,Optima,Ağ,2000,Benzin,Avtomat,Sedan,2012,217000
1449,3 300 AZN,Bakı,Opel,Omega,Gümüşü,200,Benzin,Avtomat,Sedan,1997,210000
1450,4 250 AZN,Quba,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2003,265888
1451,4 500 AZN,Hacıqabul,LADA (VAZ),21011,Göy,1500,Benzin,Mexaniki,Sedan,1979,150000
1452,22 500 AZN,Bakı,Hyundai,Elantra,Qara,1800,Benzin,Avtomat,Sedan,2014,145000
1453,5 500 AZN,Bakı,BMW,520,Qəhvəyi,2500,Benzin,Mexaniki,Universal,1993,250000
1454,8 000 AZN,Şəki,Daewoo,Nexia,Ağ,1500,Benzin,Mexaniki,Sedan,2011,271550
1455,4 200 AZN,Bakı,LADA (VAZ),2107,Tünd qırmızı,150,Benzin,Mexaniki,Sedan,2000,11111
1456,8 800 AZN,Tovuz,Mercedes,C 200,Gümüşü,200,Benzin,Avtomat,Sedan,1995,540000
1457,8 300 AZN,Bakı,Chevrolet,Aveo,Ağ,1400,Benzin,Mexaniki,Sedan,2008,257000
1458,5 800 AZN,Bakı,Opel,Astra,Gümüşü,2000,Dizel,Mexaniki,Universal,1999,2248
1459,4 800 AZN,Bərdə,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2002,159000
1460,78 000 AZN,Bakı,Lexus,LX 570,Ağ,5700,Benzin,Avtomat,Offroader/SUV,2013,215000
1461,29 000 AZN,Bakı,Chevrolet,Cobalt,Göy,1500,Benzin,Mexaniki,Sedan,2022,12000
1462,24 500 AZN,Bakı,Hyundai,Santa Fe,Gümüşü,184,Dizel,Avtomat,Offroader/SUV,2009,250000
1463,27 000 AZN,Bakı,Ford,Transit,Ağ,2400,Dizel,Mexaniki,Universal,2009,162000
1464,13 000 AZN,Neftçala,Chery,Tiggo,Qara,1800,Benzin,Avtomat,Hetçbek,2013,90
1465,3 700 AZN,Sumqayıt,Opel,Astra,Gümüşü,1600,Benzin,Mexaniki,Hetçbek,1992,238000
1466,5 200 AZN,Yevlax,Mercedes,190,Yaş Asfalt,12500,Benzin,Avtomat,Sedan,1990,1900
1467,13 800 AZN,Bakı,Toyota,Prius,Göy,750,Benzin,Avtomat,Sedan,2008,232087
1468,16 900 AZN,Bakı,Toyota,Prius,Yaş Asfalt,1500,Hibrid,Avtomat,Hetçbek,2008,262
1469,7 000 AZN,Sumqayıt,Mercedes,A 160,Ağ,1600,Benzin,Avtomat,Hetçbek,2000,154000
1470,10 000 AZN,Bakı,Fiat,Doblo,Ağ,1400,Benzin,Mexaniki,Miniven,2008,320920
1471,6 000 AZN,Bakı,Opel,Vectra,Göy,180,Benzin,Avtomat,Hetçbek,1998,200
1472,9 964 AZN,Bakı,Khazar,D5,Qara,1700,Benzin,Mexaniki,Sedan,2021,103000
1473,2 600 AZN,Sumqayıt,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,1992,2500
1474,2 200 AZN,Bakı,BMW,520,Qara,2000,Benzin,Avtomat,Sedan,1990,2000000
1475,7 000 AZN,Bakı,Audi,A6,Yaşıl,2400,Benzin,Mexaniki,Universal,1997,447
1476,6 800 AZN,Bakı,Mercedes,C 180,Gümüşü,1800,Benzin,Avtomat,Sedan,1994,315000
1477,10 300 AZN,Balakən,Mercedes,E 230,Yaşıl,2300,Benzin,Mexaniki,Sedan,1997,420000
1478,3 950 AZN,Ağstafa,Opel,Vectra,Bənövşəyi,2000,Benzin,Mexaniki,Sedan,1996,58555
1479,9 000 AZN,Bakı,Mercedes,E 230,Göy,2300,Benzin,Mexaniki,Kupe,1997,1000000
1480,6 200 AZN,Ağsu,Hyundai,H 100,Ağ,2500,Dizel,Mexaniki,Universal,2006,31488
1481,11 500 AZN,Xaçmaz,LADA (VAZ),2106,Yaşıl,1600,Benzin,Mexaniki,Sedan,1998,1000
1482,17 600 AZN,Bakı,KIA,Sportage,Qara,2000,Dizel,Avtomat,Universal,2006,230000
1483,6 700 AZN,Bakı,Mercedes,E 220,Yaşıl,220,Benzin,Avtomat,Sedan,1995,406000
1484,2 800 AZN,Bakı,LADA (VAZ),2106,Bənövşəyi,1500,Benzin,Mexaniki,Sedan,1984,59949
1485,11 700 AZN,Bakı,KIA,Rio,Qara,140,Benzin,Mexaniki,Hetçbek,2007,220000
1486,5 000 AZN,Salyan,Gaz,53,Yaş Asfalt,4500,Dizel,Mexaniki,Universal,1995,1500000
1487,1 900 AZN,Zaqatala,LADA (VAZ),2106,Bej,1500,Benzin,Mexaniki,Sedan,1983,415263
1488,17 600 AZN,Bakı,Toyota,Camry,Qara,2400,Benzin,Avtomat,Sedan,2007,370000
1489,5 200 AZN,Bakı,LADA (VAZ),2107,Yaşıl,1600,Benzin,Mexaniki,Sedan,2005,48100
1490,4 800 AZN,Gəncə,Daewoo,Matiz,Qara,800,Benzin,Avtomat,Hetçbek,2008,365009
1491,5 900 AZN,Bakı,Mercedes,C 220,Ağ,2200,Dizel,Mexaniki,Sedan,1994,2000000
1492,10 500 AZN,Bakı,Mercedes,E 220,Gümüşü,125,Dizel,Avtomat,Sedan,1997,521421
1493,7 000 AZN,Zaqatala,Mercedes,E 220,Qırmızı,220,Benzin,Avtomat,Sedan,1992,365058
1494,8 000 AZN,Bakı,Gaz,3302-Gazel,Bej,2400,Benzin,Mexaniki,Offroader/SUV,1994,90000
1495,10 500 AZN,Salyan,Mercedes,E 240,Gümüşü,240,Benzin,Avtomat,Sedan,1997,3600
1496,5 800 AZN,Bakı,Mercedes,190,Göy,2000,Benzin,Avtomat,Sedan,1992,271000
1497,6 500 AZN,Gəncə,LADA (VAZ),2106,Ağ,75,Benzin,Mexaniki,Sedan,2003,121000
1498,6 500 AZN,Bakı,Mercedes,ML 320,Qızılı,3200,Benzin,Avtomat,Sedan,2002,120000
1499,3 000 AZN,Siyəzən,Ford,Explorer,Yaşıl,4000,Benzin,Mexaniki,Offroader/SUV,1996,174000
1500,2 800 AZN,Bakı,Audi,A6,Göy,2400,Benzin,Avtomat,Sedan,1999,265000
