,qiymət,şəhər,marka,model,rəng,mühərrik_sm³,yanacaq_növü,sürətlər_qutusu,kuzov_növü,buraxılış_ili,yürüş_km
54,5 700 AZN,Bakı,Renault,Symbol,Ağ,1400,Benzin,Mexaniki,Sedan,2007,363858
55,4 500 AZN,Bakı,LADA (VAZ),21099,Yaşıl,150,Benzin,Mexaniki,Sedan,1998,152321
56,5 700 AZN,Bakı,Mercedes,C 180,Boz,115,Benzin,Avtomat,Sedan,1994,33500
57,14 800 AZN,Bakı,LADA (VAZ),Priora,Ağ,150,Benzin,Mexaniki,Sedan,2018,120000
58,7 000 AZN,Bakı,Mazda,RX 8,Qara,1800,Benzin,Mexaniki,Sedan,2004,156600
59,2 550 AZN,Bakı,LADA (VAZ),2107,Bej,150,Benzin,Mexaniki,Universal,1989,890000
60,6 800 AZN,Bakı,LADA (VAZ),2107,Qara,160,Benzin,Mexaniki,Sedan,2011,236325
61,8 600 AZN,Bakı,Toyota,Prius,Boz,1500,Hibrid,Avtomat,Sedan,2008,125000
62,9 900 AZN,Bakı,Ravon,Nexia R3,Ağ,1500,Benzin,Mexaniki,Sedan,2017,491235
63,24 900 AZN,Gəncə,Hyundai,Santa Fe,Ağ,2000,Dizel,Avtomat,Offroader/SUV,2010,203000
64,12 500 AZN,Bakı,Chevrolet,Cruze,Boz,1400,Benzin,Avtomat,Sedan,2013,209000
65,7 100 AZN,Ağsu,LADA (VAZ),2107,Qırmızı,1700,Benzin,Mexaniki,Sedan,2007,123000
66,13 900 AZN,Bakı,Chevrolet,Cruze,Qızılı,1400,Benzin,Avtomat,Sedan,2013,192000
67,8 200 AZN,Tovuz,LADA (VAZ),2107,Qara,1600,Benzin,Mexaniki,Sedan,2011,55000
68,4 900 AZN,Lənkəran,LADA (VAZ),2107,Tünd qırmızı,1600,Benzin,Mexaniki,Sedan,2008,165000
69,13 500 AZN,Bakı,KIA,Cee`d,Qəhvəyi,1400,Benzin,Mexaniki,Hetçbek,2007,1760
70,4 200 AZN,Bakı,Tofas,Kartal,Ağ,1600,Benzin,Mexaniki,Universal,2000,92000
71,7 000 AZN,Bakı,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2008,99570
72,16 800 AZN,Bakı,Chevrolet,Cruze,Ağ,1400,Benzin,Avtomat,Sedan,2015,210000
73,1 900 AZN,Şəmkir,LADA (VAZ),2107,Bej,258,Benzin,Mexaniki,Sedan,1983,2568
74,10 700 AZN,Bakı,KIA,Rio,Gümüşü,1500,Dizel,Mexaniki,Hetçbek,2006,238000
75,4 400 AZN,Zaqatala,LADA (VAZ),Niva,Ağ,1600,Benzin,Mexaniki,Offroader/SUV,1988,41241
76,3 600 AZN,Bakı,LADA (VAZ),2107,Ağ,75,Benzin,Mexaniki,Sedan,1998,148888
77,1 900 AZN,Bərdə,LADA (VAZ),21011,Qırmızı,150,Benzin,Mexaniki,Sedan,1984,090909
